序号,违规类型,问题,Javert 优先级,要/不要 (Y/N)
R026,串换项目,动态心电图与遥测心电监护项目互相串换收费。,P2 备选,
R033,虚构医药服务项目或重复收费,骨科一次性使用高值耗材（如髓内钉、螺钉、金属接骨板、关节钢板、骨针、人工骨、异体骨、固定棒、椎间融合器、骨水泥、脊柱内镜、等离子刀头、钛板等），收费数量超出实际使用数量。,P3 不建议,
R034,串换项目,骨科一次性使用高值耗材（如髓内钉、螺钉、金属接骨板、关节钢板、骨针、人工骨、异体骨、固定棒、椎间融合器、骨水泥、脊柱内镜、等离子刀头、钛板等），不同厂家、不同规格、不同价格之间相互串换收费。,P2 备选,
R035,分解收费,将成套购买的人工关节、内固定材料等拆分为单个组件收费，单个组件收取费用之和大于成套费用。,P2 备选,
R036,转嫁费用,医院将应由医保基金支付的耗材费用让患者自费支付，或将住院发生的耗材费用让患者在门诊支付，或让患者到院外购买的行为。,P3 不建议,
R037,虚构医药服务项目,未开展相关诊疗项目，但收取对应诊疗费用。,P2 备选,
R038,串换项目,将椎间盘消融治疗操作串换为心脏电生理诊疗项目分类下的射频消融术收费。,P2 备选,
R039,串换项目,开展椎间盘突出症治疗，将热凝治疗串换为椎间盘消融术进行收费。,P2 备选,
R040,串换项目,各类骨折切开复位内固定术间相互串换收费。,P2 备选,
R041,串换项目,不同的中医骨科手法整复术之间串换收费。,P2 备选,
R045,重复收费,开展肩锁关节脱位切开复位内固定术，重复收取韧带重建术费用。,P0 高优,
R047,重复收费,开展关节镜下半月板修整术、韧带重建术、骨折复位固定术、滑膜切除术等，重复收取关节镜加收费用。,P0 高优,
R054,重复收费,将普通手术切口的缝合步骤，按照皮瓣成形术进行收费。,P2 备选,
R063,超标准收费,"经同一切口进行的两种不同疾病的手术,次要手术未按照诊疗项目计价标准收费。",P2 备选,
R069,重复收费,将血液透析、血液灌流、血液滤过等项目中不能单独收费的一次性耗材进行额外收费。,P0 高优,
R070,虚构医药服务项目或重复收费,未开展相关诊疗项目，但收取对应诊疗费用。,P2 备选,
R074,超标准收费,按次收费的血液净化类诊疗项目（如血液透析、血液灌流、血液滤过、血液透析滤过、血透监测等），按治疗时长进行收费。,P2 备选,
R076,串换项目,开展血液净化类诊疗项目时，将费用较低的项目串换成费用较高的项目进行收费。,P2 备选,
R077,重复收费,开展血液透析或血液透析滤过治疗时，将测量血压或一般生命体征测量，按照血透监测收费。,P0 高优,
R079,串换项目,实际开展项目为人工肝治疗，但按照价格更高的血浆置换术进行收费。,P2 备选,
R080,虚构医药服务项目,未开展相关诊疗项目，但收取对应诊疗费用。,P2 备选,
R081,将不属于医保支付范围的纳入医保基金结算,非康复专业人员开展康复类医疗项目并收费。,P2 备选,
R082,虚构医药服务项目或串换项目,没有康复治疗设备，收取应使用设备的康复治疗项目费用。,P3 不建议,
R083,串换项目,将使用冰袋降温的操作，按照使用专用设备进行的冷疗治疗进行收费。,P2 备选,
R099,将不属于医保支付范围的纳入医保基金结算,"开展精神障碍作业疗法训练，申请医保支付存在下述问题：
1.不符合医保限定支付适应症；
2.不符合人员资质限制；
3.不符合医保限定支付天数及频次。",P2 备选,
R100,将不属于医保支付范围的纳入医保基金结算,"开展日常生活动作训练，医保支付存在下述问题：
1.不符合医保限定支付适应症；
2.不符合医保限定支付天数；
3.不符合医保继续支付的限定条件。",P2 备选,
R103,虚构医药服务项目,未开展相关诊疗项目，但收取对应诊疗费用。,P2 备选,
R105,虚构医药服务项目,开展X线计算机体层(CT)平扫时，未进行三维重建操作，但收取三维重建费用。,P1 推荐,
R106,虚构医药服务项目或重复收费,开展数字化摄影(DR) ，收取胶片费用超出实际使用张数。,P3 不建议,
R107,串换项目,开展数字化摄影(DR) ，将胶片等一次性耗材费用串换为诊疗项目收费。,P2 备选,
R108,过度检查,无指征为住院患者普通开展胸部CT检查并收取费用。,P1 推荐,
R109,过度检查,将X线计算机体层(CT)扫描使用心电或呼吸门控加收），作为常规检查，向大多数患者普遍开展并收费。,P0 高优,
R112,重复收费,开展CT、磁共振等增强扫描，重复收取平扫费用。,P0 高优,
R115,重复收费,开展非超声检查项目并收费，重复收取属于超声检查项目类别下的图象记录费用。,P1 推荐,
R116,重复收费,收取超声计算机图文报告同时收取彩色打印照片、彩色胶片照相费用,P0 高优,
R117,重复收费,开展床旁检查（如X线透视检查、超声检查等）并收费，同时重复收取同类常规检查费用。,P1 推荐,
R118,重复收费,开展临床操作的磁共振引导，收取引导费用时，重复收取磁共振扫描(MRI)、磁共振平扫、磁共振增强扫描、磁共振心脏功能检查、磁共振血管成象(MRA)等检查费用。,P0 高优,
R119,重复收费,开展临床操作的CT引导，收取引导费用时，重复收取X线计算机体层(CT)扫描、X线计算机体层(CT)平扫、X线计算机体层(CT)增强扫描、X线计算机体层(CT)成象等检查费用。,P0 高优,
R129,过度检查,为住院患者开展彩色腹部多普勒超声常规检查时，普遍无指征开展妇科、泌尿系多普勒超声常规检查并收取费用。,P0 高优,
R130,过度检查,为住院患者，普遍无指征开展血管彩色多普勒超声检查并收取费用。,P0 高优,
R131,过度检查,无指征为住院患者普遍开展心脏彩色多普勒超声、左心功能测定、室壁运动分析、组织多普勒显象(TDI)等检查并收费。,P0 高优,
R132,过度检查,将内镜色素检查作为入院患者的常规检查，普遍为无相关指征的患者开展检验并收费。,P1 推荐,
R133,串换项目,将在低分辨率、低排数、低场强设备上开展的CT、磁共振检查按照高分辨率、高排数、高场强设备计价收费。,P3 不建议,
R134,虚构医药服务项目,未开展相关诊疗项目，但收取对应诊疗费用。,P2 备选,
R135,将不属于医保支付范围的纳入医保基金结算,将用于临床试验的检验费用，纳入医保基金支付。,P2 备选,
R141,过度检查,医院部分科室将肌红蛋白测定作为入院患者的常规检查，对大量无相关疾病指征的患者开展检验。,P0 高优,
R143,过度检查,医院部分科室将血浆乳酸测定作为入院患者的常规检查，对大量无相关疾病指征的患者开展检验。,P0 高优,
R146,过度检查,医院部分科室将B型钠尿肽、B型钠尿肽前体等测定作为入院患者的常规检查，对大量无相关疾病指征的患者开展检验。,P0 高优,
R151,过度检查,非肝炎患者，住院期间多次测定乙肝、丙肝抗体。,P0 高优,
R153,过度检查,将甲胎蛋白测定作为入院患者的常规检查，对大量无相关疾病指征的患者开展检验并收费。,P0 高优,
R154,过度检查,将癌胚抗原、糖类抗原作为入院患者的常规检查，对大量无相关疾病指征的患者开展检验并收费。,P1 推荐,
R155,过度检查,将各种白介素测定、干扰素测定、肿瘤坏死因素测定等作为入院患者的常规检查，对大量无相关疾病指征的患者开展检验并收费。,P1 推荐,
R156,过度检查,将前列腺特异性抗原作为普通人群入院常规检查，对大量非前列腺相关疾病的患者开展检测并收费。,P0 高优,
R160,过度检查,将降钙素原检测（PCT）作为入院患者的常规检查，对大量无相关疾病指征的患者开展检验并收费。,P0 高优,
R161,过度检查,将血清肌钙蛋白Ⅰ测定作为入院患者的常规检查，对大量无相关指征的患者开展检验并收费。,P0 高优,
R162,过度检查,将细菌抗体测定作为入院患者的常规检查，对大量无相关疾病指征的患者开展检验并收费。,P1 推荐,
R165,超标准收费,开展全器官大切片检查与诊断、手术标本检查与诊断，未按计价单位收费。,P2 备选,
R170,串换项目,将电极法进行的钠测定、钾测定、铁测定、钙测定等，按照价格更高的干化学法进行收费。,P3 不建议,
R171,串换项目,将酶法、电极法进行的葡萄糖测定，按照价格更高的干化学法进行收费。,P3 不建议,
R172,串换项目,将各种免疫学方法测定的血清肌钙蛋白T、肌钙蛋白Ⅰ、肌红蛋白，按照价格更高的化学发光法进行收费。,P3 不建议,
R173,串换项目,将B型钠尿肽前体 (PRO-BNP)测定、N端-B型钠尿肽前体(NT- ProBNP)测定相互串换收费。,P3 不建议,
R174,串换项目,将糖化血红蛋白测定色谱法串换为各种免疫学方法收费。,P3 不建议,
R175,串换项目,将血培养及鉴定气压传感法串换为荧光增强法收费。,P3 不建议,
R176,串换项目,将红细胞沉降率测定（ESR）手工法串换为仪器法收费,P3 不建议,
R177,串换项目,将按照钒酸盐氧化法测定的血清总胆红素测定，串换为干化学法进行收费。,P3 不建议,
R178,串换项目,将N端B型钠尿肽前体（NT-proBNP）测定串换为B型钠尿肽（BNP）测定进行收费。,P3 不建议,
R179,串换项目,将各种免疫学方法、化学发光法、凝集法进行的类风湿因子(RF)测定、尿微量白蛋白测定、抗链球菌溶血素O测定(ASO)等检验，串换为定时散射比浊法进行收费。,P3 不建议,
R180,串换项目,将脱氧核糖核酸（DNA）测序、人乳头瘤病毒(HPV)检测、血液病相关基因定性检测等检验，串换为原位杂交技术、印迹杂交技术进行收费。,P3 不建议,
R185,重复收费,开展根治性宫颈切除术，重复收取卵巢动静脉高位结扎术。,P0 高优,
R191,重复收费,开展肿瘤全身断层显像，重复收取人工报告费用。,P0 高优,
R193,超标准收费,开展体表肿物切除术等手术，未按照同一切口、不同切口手术计价标准收费。,P2 备选,
R196,超标准收费,高强度超声聚焦刀治疗，未按计价标准收费。,P2 备选,
R200,超标准收费,开展简易定位、专用X线机模拟定位、专用X线机复杂模拟定位等，未按照计价单位收费。,P2 备选,
R201,串换项目,将腹部体表良性病变切除，串换为腹壁肿瘤切除术收费。,P2 备选,
R202,串换项目,医院无集中配液中心，串换此项目收费。,P3 不建议,
R203,虚构医药服务项目,未开展相关诊疗项目，但收取对应诊疗费用。,P2 备选,
R204,虚构医药服务项目或重复收费,吸入麻醉药品、静脉麻醉药品的收费数量大于实际使用数量。,P3 不建议,
R205,重复收费,各种麻醉方式（如全身麻醉、神经阻滞麻醉、椎管内麻醉、局部麻醉等），收费时长大于实际麻醉记录时长。,P2 备选,
R208,重复收费,开展基础麻醉，重复收取强化麻醉费用。,P0 高优,
R212,超标准收费,医院无麻醉恢复室，收取麻醉恢复室监护费用。,P3 不建议,
R218,过度诊疗,向非全身麻醉状态的患者，收取麻醉深度电生理监测费用。,P1 推荐,
R219,过度诊疗,对未使用肌肉松弛药物的全身麻醉患者，开展麻醉中肌松监测并收费。,P0 高优,
R220,虚构医药服务项目或过度诊疗,对不符合控制性降压适用范围（如不能耐受、非保护重要脏器氧供等）的患者，收取控制性降压费用。,P0 高优,
R221,过度诊疗,对不符合脑电双频指数监测适用范围（如非全麻、非儿童重症监护病房镇静镇痛、深度睡眠等）的患者，收取脑电双频指数监测费用。,P1 推荐,
R222,过度诊疗,医院无指征普遍开展特殊方法气管插管术。,P1 推荐,
R223,串换项目,开展气管插管术，但按照特殊方法气管插管术收费。,P2 备选,
R224,虚构医药服务项目,未开展相关诊疗项目，但收取对应诊疗费用。,P2 备选,
R225,过度诊疗或虚构医药服务项目,对不符合康复治疗适应症范围的患者开展康复治疗项目，或未开展康复治疗但收取相应费用。,P1 推荐,
R226,重复收费,开展静脉高营养治疗，重复收取静脉用药集中配置费用。,P0 高优,
R227,重复收费,呼吸机、心电监护、连续静脉压监护、动态血压监测、连续性血液净化等计价单位为小时，医院计费总时长大于患者实际入ICU 总时长。,P2 备选,
R228,重复收费,医院开展重症监护等并对应收费，重复收取口腔护理、皮肤护理、会阴护理、肛周护理、心理护理、动静脉置管护理等费用。,P0 高优,
R231,串换项目,开展经纤支镜治疗，按照经纤支镜特殊治疗进行收费。,P2 备选,
R232,串换项目,将普通病房床位，串换为层流洁净病房床位进行收费。,P2 备选,
R233,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为口腔颌面部软组织缺损局部组织瓣修复术等口腔手术项目纳入医保结算，虚构诊疗服务，骗取医保基金。,P1 推荐,
R234,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为口腔颌面部巨大血管瘤淋巴管瘤切除术等口腔手术项目纳入医保结算，虚构诊疗服务，骗取医保基金。,P1 推荐,
R235,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为口腔颌面部骨缺损游离骨瓣移植修复术等口腔手术项目纳入医保结算，虚构诊疗服务，骗取医保基金。,P1 推荐,
R236,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为带血管游离骨移植颌骨重建术等口腔手术项目纳入医保结算，虚构诊疗服务，骗取医保基金。,P1 推荐,
R237,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为牙周组织瓣移植术等口腔手术项目纳入医保结算，虚构诊疗服务，骗取医保基金。,P2 备选,
R238,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为显微根管治疗术等口腔治疗项目上传医保结算，虚构诊疗服务，骗取医保基金。,P2 备选,
R239,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为根管再治疗术等口腔治疗项目上传医保结算，虚构诊疗服务，骗取医保基金。,P2 备选,
R240,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为根管充填术等口腔治疗项目上传医保结算，虚构诊疗服务，骗取医保基金。,P2 备选,
R241,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为牙髓失活术等口腔治疗项目上传医保结算，虚构诊疗服务，骗取医保基金。,P2 备选,
R242,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为牙髓摘除术等口腔治疗项目上传医保结算，虚构诊疗服务，骗取医保基金。,P2 备选,
R243,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为牙脱敏治疗等口腔治疗项目上传医保结算，虚构诊疗服务，骗取医保基金。,P2 备选,
R244,虚构医药服务项目或以骗保为目的串换项目,将牙齿美容修复类（如种植牙、烤瓷/全瓷冠、正畸等）非医保支付项目，套用串换为牙体缺损粘接修复术等口腔治疗项目上传医保结算，虚构诊疗服务，骗取医保基金。,P2 备选,
R245,虚构医药服务,开展普通拔牙、阻生牙拔除操作以及对牙龈炎、牙髓炎患者的普通诊治过程中，虚构服务收取口腔颌面软组织清创术等费用，虚计费用骗取医保基金。,P1 推荐,
R246,虚构医药服务,开展普通拔牙、阻生牙拔除操作以及对牙龈炎、牙髓炎患者的普通诊治过程中，虚构服务收取根尖搔刮术等费用，虚计费用骗取医保基金。,P1 推荐,
R247,虚构医药服务,开展普通拔牙、阻生牙拔除操作以及对牙龈炎、牙髓炎患者的普通诊治过程中，虚构服务收取分根术等费用，虚计费用骗取医保基金。,P1 推荐,
R248,虚构医药服务,开展普通拔牙、阻生牙拔除操作以及对牙龈炎、牙髓炎患者的普通诊治过程中，虚构服务收取牙龈切除术等费用，虚计费用骗取医保基金。,P1 推荐,
R249,虚构医药服务,开展普通拔牙、阻生牙拔除操作以及对牙龈炎、牙髓炎患者的普通诊治过程中，虚构服务收取龈瓣整形术等费用，虚计费用骗取医保基金。,P2 备选,
R250,超标准收费,开展各种口腔检查或治疗项目，未按照计价单位收费。,P2 备选,
R260,重复收费,开展牙龈翻瓣术，重复收取根面平整术费用。,P0 高优,
R275,串换项目,将葡萄糖测定、床旁血糖仪检测串换为电脑血糖监测收费。,P2 备选,
R278,过度检查,无指征为住院患者普遍打包开展肾上腺皮质激素、性腺激素、血清生长激素、抗甲状腺球蛋白抗体(TGAb)、抗甲状腺微粒体抗体(TMAb)等多种内分泌相关检查并收费。,P1 推荐,
R279,过度检查,为住院患者无指征普遍开展“甲状腺功能三项”或“甲状腺功能五项”检查并收费。,P1 推荐,
R280,诱导住院骗取医保基金,通过夸大病情、虚假宣传、隐瞒风险、恐吓威胁等方式，迫使或诱导患者及家属同意住院，强迫控制患者延长住院。,P3 不建议,
R281,诱导住院骗取医保基金,以免费体检、免除费用、上门接送、提供返利、转诊提成等方式，拉拢非必要住院的轻症患者或康养需求的非精神障碍老人群体、困难群体住院。,P3 不建议,
R282,虚假诊断,将未伴发精神行为症状的脑梗后遗症、癫痫、智力障碍、阿尔兹海默症、酒精依赖等疾病，夸大病情、虚假诊断为重性精神疾病并收治住院。,P3 不建议,
R283,虚构病情,将健康人员、轻症患者诊断编造、篡改为重性精神疾病诊断；虚构自伤、自杀、木僵等风险以夸大病情、延长住院；虚增并发症导致ICD编码与临床实际不符。,P3 不建议,
R284,虚假住院,患者实际未在院（挂床住院）、冒用他人信息虚构住院。,P3 不建议,
R285,虚构诊疗,对未实施或仅部分实施的心理治疗、精神监护、工娱治疗、暗示疗法、森田疗法等诊疗项目进行计费。,P2 备选,
R286,虚构诊疗,虚构服务频次，记录的诊疗、护理、检查频次或总服务量，远超临床实际可能或医院最大服务能力（如量表测查总时长超医师工时）。,P3 不建议,
R287,伪造变造医学文书,伪造篡改入院记录、病程记录、知情同意书、护理记录等病历核心内容。,P3 不建议,
R288,伪造变造医学文书,无授权委托在各类文书上冒签代签医师、护师、患者或家属签名，存在多人笔迹雷同，同一人笔迹前后矛盾。,P3 不建议,
R289,伪造变造医学文书,各类精神量表（如汉密尔顿焦虑量表HAMA、汉密尔顿抑郁量表HAMD、阳性和阴性精神症状评定PANSS）等评定造假，包括由无资质人员评定、冒名代签、复制模版等行为。,P3 不建议,
R290,伪造变造医学文书,伪造或批量套用脑电图、影像学、检验科报告，无原始数据、操作记录支撑，或多人报告雷同，同一人量表结果、报告数据长期一致。,P3 不建议,
R291,超标准收费,开展精神科监护，未严格按照诊疗规范及项目内涵规定的适用对象、监护内容、病区环境、人员资质等要求提供服务，仍按该项目标准收费。,P2 备选,
R292,超标准收费,已诊断为精神疾病的住院患者，多次收取首诊精神病费用。,P1 推荐,
R293,超标准收费,开展心理治疗、精神康复治疗等时，未按照加收标准收费。,P2 备选,
R295,重复收费,对同一患者同时收取内涵重合或互斥的诊疗项目费用，如收取精神病护理后重复收取级别护理等。,P1 推荐,
R296,重复收费,开展行为观察和治疗费用，同时收取行为矫正治疗费用,P1 推荐,
R300,重复收费,开展精神科监护，重复收取抗精神病药物治疗监测费用,P0 高优,
R303,重复收费,开展精神障碍、身体功能障碍、辅助器具等各类作业疗法训练时，同时收取日常生活动作训练费用。,P1 推荐,
R304,重复收费,开展精神障碍作业疗法训练，重复收取日常生活动作训练费用,P1 推荐,
R305,重复收费,开展康复治疗，收取身体功能障碍、辅助器具等各种作业疗法训练费用，同时重复收取日常生活动作训练费用,P1 推荐,
R307,串换项目,将实际提供的低价或非医保项目，记录并结算为高价或医保目录内的精神科项目，如将日常查房与平时看护串换为行为观察和治疗收费等。,P2 备选,
R308,串换项目,将应用录音录像设备开展的治疗，串换为心理治疗收费。,P2 备选,
R309,串换项目,将常规查房过程，串换为心理治疗项目收费。,P2 备选,
R310,过度诊疗,未严格执行精神科住院标准，将轻中度焦虑/抑郁、睡眠障碍、酒精依赖等可经门诊管控的非危急重症患者（门诊管控不佳的除外）违规收治住院。,P2 备选,
R311,过度诊疗,违反项目内涵及适应证规定，为非重性精神病急性发作期、或无急性发作指征的患者常规化、全程化开展精神科监护并收费。,P1 推荐,
R312,过度诊疗,开展脑反射治疗时，超出脑波治疗仪说明书规定的适应症范围（仅限失眠及强迫症状），为精神分裂症、抑郁症、焦虑症等非适用病症患者进行治疗，并收取相应费用。,P0 高优,
R313,过度诊疗,违反诊疗规范将抗精神病药物治疗监测普遍为无相关指征的患者开展并收费。,P0 高优,
R314,造成医保基金损失的其他违规行为,人员资质不符，由非精神卫生专业医师、无资质人员或不在岗人员开展精神科诊疗、评估及签名。,P3 不建议,
R315,造成医保基金损失的其他违规行为,违规对外出租、承包精神科室（病区/病房）。,P3 不建议,
